2.16.578.1.12.4.1.1.9327::D01A::TSB start	Tverrfaglig spesialisert rusbehandling (TSB); Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D08A::Spiseforstyrr start	Spiseforstyrrelser – barn og unge; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D08C::Spiseforstyrr beslutning	Spiseforstyrrelser – barn og unge; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D08CA::Spiseforstyrr beslutning oppfølgning annen	Spiseforstyrrelser – barn og unge; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D08CI::Spiseforstyrr beslutning ikke behov	Spiseforstyrrelser – barn og unge; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D08CK::Spiseforstyrr beslutning behandling primær	Spiseforstyrrelser – barn og unge; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D08CP::Spiseforstyrr beslutning behandling PHV	Spiseforstyrrelser – barn og unge; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D08CS::Spiseforstyrr beslutning behandling annen	Spiseforstyrrelser – barn og unge; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D08CT::Spiseforstyrr beslutning behandling TSB	Spiseforstyrrelser – barn og unge; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D08E::Spiseforstyrr evaluering	Spiseforstyrrelser – barn og unge; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D08F::Spiseforstyrr fastlege	Spiseforstyrrelser – barn og unge; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D08O::Spiseforstyrr overføring	Spiseforstyrrelser – barn og unge; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D08S::Spiseforstyrr møte	Spiseforstyrrelser – barn og unge; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D08SI::Spiseforstyrr møte	Spiseforstyrrelser – barn og unge; Samarbeidsmøte med relevante instanser; Vurdert ikke behov for møte
2.16.578.1.12.4.1.1.9327::D08SM::Spiseforstyrr møte gjennomført	Spiseforstyrrelser – barn og unge; Samarbeidsmøte med relevante instanser; Gjennomført møte
2.16.578.1.12.4.1.1.9327::D08U::Spiseforstyrr aktivitet	Spiseforstyrrelser – barn og unge; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D08UM::Spiseforstyrr aktivitet medikamentell behandling	Spiseforstyrrelser – barn og unge; Dato for utført aktivitet; Medikamentell behandling for tvangslidelse
2.16.578.1.12.4.1.1.9327::D08US::Spiseforstyrr aktivitet behandling for spiseforstyrrelser	Spiseforstyrrelser – barn og unge; Dato for utført aktivitet; Familiebasert behandling spesifikt for spiseforstyrrelser
2.16.578.1.12.4.1.1.9327::D08UU::Spiseforstyrr aktivitet involvering	Spiseforstyrrelser – barn og unge; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D08UV::Spiseforstyrr aktivitet måling	Spiseforstyrrelser – barn og unge; Dato for utført aktivitet; Standardisert verktøy for måling av symptom og/eller funksjon
2.16.578.1.12.4.1.1.9327::D08X::Spiseforstyrr avslutning	Spiseforstyrrelser – barn og unge; Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D08XA::Spiseforstyrr avslutning avbrudd andre årsaker	Spiseforstyrrelser – barn og unge; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D08XG::Spiseforstyrr avslutning gjennomført	Spiseforstyrrelser – barn og unge; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D08XP::Spiseforstyrr avslutning avbrudd eget ønske	Spiseforstyrrelser – barn og unge; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D08XR::Spiseforstyrr avslutning	Spiseforstyrrelser – barn og unge; Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
2.16.578.1.12.4.1.1.9327::D09A::Rus gravid start	Gravide – rusmidler-kvinne; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D09C::Rus gravid beslutning	Gravide – rusmidler-kvinne; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D09CA::Rus gravid beslutning oppfølgning annen	Gravide – rusmidler-kvinne; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D09CI::Rus gravid beslutning ikke behov	Gravide – rusmidler-kvinne; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D09CK::Rus gravid beslutning behandling primær	Gravide – rusmidler-kvinne; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D09CP::Rus gravid beslutning behandling PHV	Gravide – rusmidler-kvinne; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D09CS::Rus gravid beslutning behandling annen	Gravide – rusmidler-kvinne; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D09CT::Rus gravid beslutning behandling TSB	Gravide – rusmidler-kvinne; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D09CU::Rus gravid beslutning utvidet utredning	Gravide – rusmidler-kvinne; Klinisk beslutning; Behov for utvidet utredning
2.16.578.1.12.4.1.1.9327::D09D::Rus gravid avrusning	Gravide – rusmidler-kvinne; Avrusning døgn avsluttet
2.16.578.1.12.4.1.1.9327::D09E::Rus gravid evaluering	Gravide – rusmidler-kvinne; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D09F::Rus gravid fastlege	Gravide – rusmidler-kvinne; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D09O::Rus gravid overføring	Gravide – rusmidler-kvinne; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D09S::Rus gravid møte	Gravide – rusmidler-kvinne; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D09SI::Rus gravid møte	Gravide – rusmidler-kvinne; Samarbeidsmøte med relevante instanser; Vurdert ikke behov for møte
2.16.578.1.12.4.1.1.9327::D09SM::Rus gravid møte gjennomført	Gravide – rusmidler-kvinne; Samarbeidsmøte med relevante instanser; Gjennomført møte
2.16.578.1.12.4.1.1.9327::D09U::Rus gravid aktivitet	Gravide – rusmidler-kvinne; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D09UB::Rus gravid aktivitet informasjon	Gravide – rusmidler-kvinne; Dato for utført aktivitet; Pasienten/pårørende er informert om de ulike behandlingsformer enheten tilbyr for aktuell lidelse
2.16.578.1.12.4.1.1.9327::D09UU::Rus gravid aktivitet involvering	Gravide – rusmidler-kvinne; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D09X::Rus gravid avslutning	Gravide – rusmidler-kvinne; Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D09XA::Rus gravid avslutning avbrudd andre årsaker	Gravide – rusmidler-kvinne; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D09XG::Rus gravid avslutning gjennomført	Gravide – rusmidler-kvinne; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D09XP::Rus gravid avslutning avbrudd eget ønske	Gravide – rusmidler-kvinne; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D10A::Rus nyfødt start	Gravide-rusmidler- nyfødt barn; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D10C::Rus nyfødt beslutning	Gravide-rusmidler- nyfødt barn; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D10CA::Rus nyfødt beslutning oppfølgning annen	Gravide-rusmidler- nyfødt barn; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D10CI::Rus nyfødt beslutning ikke behov	Gravide-rusmidler- nyfødt barn; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D10CK::Rus nyfødt beslutning behandling primær	Gravide-rusmidler- nyfødt barn; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D10CP::Rus nyfødt beslutning behandling PHV	Gravide-rusmidler- nyfødt barn; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D10CS::Rus nyfødt beslutning behandling annen	Gravide-rusmidler- nyfødt barn; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D10CT::Rus nyfødt beslutning behandling TSB	Gravide-rusmidler- nyfødt barn; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D10CU::Rus nyfødt beslutning utvidet utredning	Gravide-rusmidler- nyfødt barn; Klinisk beslutning; Behov for utvidet utredning
2.16.578.1.12.4.1.1.9327::D10D::Rus nyfødt avrusning	Gravide-rusmidler- nyfødt barn; Avrusning døgn avsluttet
2.16.578.1.12.4.1.1.9327::D10E::Rus nyfødt evaluering	Gravide-rusmidler- nyfødt barn; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D10F::Rus nyfødt fastlege	Gravide-rusmidler- nyfødt barn; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D10O::Rus nyfødt overføring	Gravide-rusmidler- nyfødt barn; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D10S::Rus nyfødt møte	Gravide-rusmidler- nyfødt barn; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D10SI::Rus nyfødt møte	Gravide-rusmidler- nyfødt barn; Samarbeidsmøte med relevante instanser; Vurdert ikke behov for møte
2.16.578.1.12.4.1.1.9327::D10SM::Rus nyfødt møte gjennomført	Gravide-rusmidler- nyfødt barn; Samarbeidsmøte med relevante instanser; Gjennomført møte
2.16.578.1.12.4.1.1.9327::D10U::Rus nyfødt aktivitet	Gravide-rusmidler- nyfødt barn; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D10UU::Rus nyfødt aktivitet involvering	Gravide-rusmidler- nyfødt barn; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D10X::Rus nyfødt avslutning	Gravide-rusmidler- nyfødt barn; Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D10XA::Rus nyfødt avslutning avbrudd andre årsaker	Gravide-rusmidler- nyfødt barn; Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D10XG::Rus nyfødt avslutning gjennomført	Gravide-rusmidler- nyfødt barn; Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D10XP::Rus nyfødt avslutning avbrudd eget ønske	Gravide-rusmidler- nyfødt barn; Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
